loja,ean,sku,nome,marca,precoDe,precoPor,oferta,print_tela_path,link
masonline,7500435203975,192251,Maquina De Afeitar Venus Intima Desechable 2un,Venus,8189.00,,,,https://www.masonline.com.ar/maquina-de-afeitar-venus-intima-desechable-2un-2/p
masonline,7500435225366,192088,Repuesto Gillette Mach3 Carbono Resutilizable 2un,Gillette,11249.00,7311.85,sim,,https://www.masonline.com.ar/repuesto-gillette-mach3-carbono-resutilizable-2un-2/p
masonline,7702018072477,192241,Repuesto Máquina De Afeitar Mujer Gillette Venus Original 2 Ud,Venus,10279.00,,,,https://www.masonline.com.ar/repuesto-venus-maquina-de-afeitar-2un-2/p
masonline,7500435228565,191368,Pañales Pampers Babysan Xxg 54un,Pampers,43429.00,,,,https://www.masonline.com.ar/panales-pampers-babysan-xxg-54un-2/p
masonline,7500435191425,183223,Shampoo Pantene Pro-V Miracles Colágeno 300 Ml,Pantene,9759.00,,,,https://www.masonline.com.ar/shampoo-pantene-colageno-nutre-revitaliza-400ml-2/p
masonline,7500435228718,191356,Pañales Desechables Pampers Baby Dry Hipoalergénico Xg 58un,Pampers,53999.00,,,,https://www.masonline.com.ar/panales-pampers-baby-dry-xg-58un-2/p
masonline,7500435146241,229271,Pañales Pampers Pants Hipoalergénico Talle Xg 32 U,Pampers,36219.00,,,,https://www.masonline.com.ar/panales-pampers-pants-hipoalergenico-talle-xg-34u/p
masonline,7500435228749,191353,Pampers Baby Dry Pañales M 52u,Pampers,35509.00,,,,https://www.masonline.com.ar/panales-pampers-baby-dry-m-52un-2/p
masonline,7500435228763,191351,Pampers Baby Dry Pañales Xg 36u,Pampers,35509.00,,,,https://www.masonline.com.ar/panales-pampers-baby-dry-xg-36un-2/p
masonline,7500435228770,191350,Pampers Baby Dry Pañales Xxg 34u,Pampers,35509.00,,,,https://www.masonline.com.ar/panales-pampers-baby-dry-xxg-34un-2/p
masonline,7500435229487,217762,Toallas Femeninas Always Xtra Nocturnas 8un,Always,5439.00,,,,https://www.masonline.com.ar/toallas-femeninas-always-xtra-nocturnas-8un-2/p
masonline,7500435229494,217761,Toallas Femeninas Always Xtra Nocturnas 16un,Always,9469.00,,,,https://www.masonline.com.ar/toallas-femeninas-always-xtra-nocturnas-16un-2/p
masonline,7500435229517,217764,Toallas Femeninas Always  Xtra Nocturnas Suave 16un,Always,7849.00,,,,https://www.masonline.com.ar/toallas-femeninas-always-xtra-nocturnas-suave-16un-2/p
masonline,7500435229531,192246,Always Xtra Doble Protección Suave Toallas Femeninas 16u,Always,6009.00,,,,https://www.masonline.com.ar/toallitas-femeninas-always-xtra-doble-proteccion-suave-16u-2/p
masonline,7500435229586,217765,Toalla Femeninas Always Triple Protección Día Seca 16un,Always,8229.00,,,,https://www.masonline.com.ar/toalla-femeninas-always-triple-proteccion-dia-seca-16un-2/p
masonline,7500435229609,217767,Toalla Femenina Always Máxima Protección Suave 16un,Always,7529.00,,,,https://www.masonline.com.ar/toalla-femenina-always-maxima-proteccion-suave-16un-2/p
masonline,7500435229654,217768,Toalla Femenina Always  Xtra Triple Protect De Dia Suave C/A 8un,Always,3789.00,,,,https://www.masonline.com.ar/toalla-femenina-always-xtra-triple-protect-de-dia-suave-c-a-8un-2/p
masonline,7500435229807,216768,Acondicionador Pantene Detox 700ml,Pantene,16409.00,,,,https://www.masonline.com.ar/acondicionador-pantene-detox-700ml-2/p
masonline,7500435229531,192246,Always Xtra Doble Protección Suave Toallas Femeninas 16u,Always,6009.00,,,,https://www.masonline.com.ar/toallitas-femeninas-always-xtra-doble-proteccion-suave-16u-2/p
masonline,7500435229838,216771,Shampoo Pantene Detox 750ml,Pantene,16409.00,,,,https://www.masonline.com.ar/shampoo-pantene-detox-750ml-2/p
masonline,7500435229531,192246,Always Xtra Doble Protección Suave Toallas Femeninas 16u,Always,6009.00,,,,https://www.masonline.com.ar/toallitas-femeninas-always-xtra-doble-proteccion-suave-16u-2/p
